SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DELIV_LACS
HDFCBANK,EQ, 08-Apr-2021,1447.2,1453.0,1460.9,1430.5, 1434.00,1432.8,1445.54,8806796,127305.41,223974,4639816,52.68,67070
RELIANCE,EQ, 08-Apr-2021,2002.85,2011.0,2022.0,1993.0, 2006.40,2005.35,2006.16,7092878,142294.32,191800,2633682,37.13,52835
ICICIBANK,EQ, 08-Apr-2021,577.65,582.0,585.85,573.3, 576.70,576.7,579.98,19262565,111719.47,205706,8931243,46.37,51799
TATASTEEL,EQ, 08-Apr-2021,874.85,884.0,953.65,882.7, 922.00,918.4,919.87,53063056,488112.43,626502,4841514,9.12,44535
HDFC,EQ, 08-Apr-2021,2482.7,2495.0,2530.9,2485.75, 2502.45,2502.55,2514.01,2510746,63120.48,101341,1424452,56.73,35810
INFY,EQ, 08-Apr-2021,1430.2,1430.0,1451.7,1421.0, 1438.15,1439.85,1440.96,5654434,81477.89,179859,2480903,43.88,35748
TCS,EQ, 08-Apr-2021,3271.4,3270.0,3335.0,3266.05, 3315.00,3317.35,3314.03,2578118,85439.56,142722,987260,38.29,32718
TATAMOTORS,EQ, 08-Apr-2021,307.8,307.9,319.8,307.5, 314.00,313.95,315.34,62459774,196963.36,329382,9456962,15.14,29821
HINDUNILVR,EQ, 08-Apr-2021,2405.25,2406.0,2439.0,2395.6, 2410.00,2409.9,2420.75,1814515,43924.83,72630,1169318,64.44,28306
JSWSTEEL,EQ, 08-Apr-2021,562.3,572.0,639.0,563.25, 616.20,614.1,605.82,72006147,436229.68,667821,4461404,6.2,27028
SAIL,EQ, 08-Apr-2021,89.8,91.35,98.5,91.35, 95.85,95.6,94.86,124224953,117837.45,239870,28065811,22.59,26623
SBIN,EQ, 08-Apr-2021,358.55,361.0,363.3,354.3, 355.95,355.6,358.65,33370259,119681.1,221845,6728742,20.16,24132
HCLTECH,EQ, 08-Apr-2021,1037.2,1044.0,1054.4,1031.65, 1037.15,1037.5,1041.24,4852068,50521.73,120480,2184456,45.02,22745
KOTAKBANK,EQ, 08-Apr-2021,1792.0,1796.0,1823.7,1778.7, 1783.65,1783.25,1799.43,2890290,52008.72,98066,1205524,41.71,21692
BAJFINANCE,EQ, 08-Apr-2021,5077.1,5100.0,5115.0,5015.0, 5027.30,5029.5,5061.08,1407879,71253.89,114649,383568,27.24,19412
MARUTI,EQ, 08-Apr-2021,6865.0,6881.0,6939.3,6806.85, 6831.00,6826.85,6885.7,604553,41627.69,58345,281504,46.56,19383
ADANIPORTS,EQ, 08-Apr-2021,814.75,818.0,838.0,806.0, 824.00,823.0,823.05,34025873,280048.82,403689,2295493,6.75,18893
VEDL,EQ, 08-Apr-2021,236.85,239.0,244.9,236.4, 237.30,237.75,240.79,24821045,59767.35,115237,7773703,31.32,18718
ULTRACEMCO,EQ, 08-Apr-2021,6760.05,6798.0,7052.85,6783.8, 7040.00,6971.25,6892.41,635298,43787.37,59771,256912,40.44,17707
BHARTIARTL,EQ, 08-Apr-2021,541.6,546.8,548.55,540.5, 542.00,543.0,544.62,11157958,60768.51,113476,3153147,28.26,17172
WIPRO,EQ, 08-Apr-2021,438.0,441.95,445.95,440.0, 442.00,442.1,442.94,12916614,57212.39,131870,3856670,29.86,17082
SHREECEM,EQ, 08-Apr-2021,30230.65,30260.0,32048.0,30260.0, 31680.00,31582.65,31379.69,148094,46471.43,43801,53893,36.39,16911
TECHM,EQ, 08-Apr-2021,1002.4,1008.0,1049.85,1005.0, 1028.55,1029.0,1031.44,6737118,69489.4,150807,1629540,24.19,16807
HINDALCO,EQ, 08-Apr-2021,352.2,355.9,374.0,354.65, 366.55,365.2,364.98,28768469,104998.74,211570,4502948,15.65,16434
AXISBANK,EQ, 08-Apr-2021,688.25,691.5,695.5,679.35, 682.45,681.6,688.49,9026398,62146.22,126080,2336252,25.88,16084
ATGL,EQ, 08-Apr-2021,1103.6,1096.0,1100.0,993.25, 993.25,993.25,1014.95,3363435,34137.32,114700,1573989,46.8,15975
JINDALSTEL,EQ, 08-Apr-2021,388.8,393.5,427.5,391.4, 417.45,415.65,411.31,27365406,112556.42,230196,3664731,13.39,15073
POWERGRID,EQ, 08-Apr-2021,210.55,211.95,213.5,208.5, 208.60,209.0,210.93,11513749,24286.06,91699,7019153,60.96,14805
NAUKRI,EQ, 08-Apr-2021,4691.4,4730.0,4920.0,4696.55, 4845.00,4842.0,4841.45,1408872,68209.86,125784,296584,21.05,14358
ONGC,EQ, 08-Apr-2021,104.65,103.8,105.7,103.3, 103.60,103.6,104.6,26105970,27305.57,63108,13567986,51.97,14192
ASHOKLEY,EQ, 08-Apr-2021,116.75,117.95,124.8,117.25, 123.20,122.75,122.54,54015926,66190.28,199163,11501362,21.29,14093
IBULHSGFIN,EQ, 08-Apr-2021,195.7,196.8,197.3,190.6, 191.05,191.25,192.82,15539748,29963.32,92907,7045708,45.34,13585
GRAPHITE,EQ, 08-Apr-2021,653.75,650.0,740.0,645.35, 692.00,693.05,705.35,13302164,93826.98,354565,1910959,14.37,13478
IDFCFIRSTB,EQ, 08-Apr-2021,57.8,58.3,58.35,57.1, 57.45,57.45,57.8,55092435,31844.24,83738,23169998,42.06,13392
ITC,EQ, 08-Apr-2021,213.8,214.85,216.1,212.85, 213.50,213.25,214.28,14116874,30249.31,81632,6140411,43.5,13157
NMDC,EQ, 08-Apr-2021,139.6,140.0,145.75,140.0, 144.25,144.2,143.35,20237709,29011.08,65335,9161173,45.27,13132
BAJAJFINSV,EQ, 08-Apr-2021,9539.6,9590.0,9735.15,9575.05, 9650.50,9654.8,9668.02,353634,34189.4,44290,132638,37.51,12823
DIVISLAB,EQ, 08-Apr-2021,3698.95,3698.55,3799.9,3681.5, 3707.70,3715.15,3746.63,752343,28187.51,52724,338120,44.94,12668
PIIND,EQ, 08-Apr-2021,2422.7,2411.1,2547.0,2400.7, 2523.00,2520.65,2510.1,1021389,25637.86,66064,483341,47.32,12132
BRITANNIA,EQ, 08-Apr-2021,3808.55,3780.0,3834.0,3761.05, 3817.00,3816.75,3803.37,613388,23329.42,46400,314444,51.26,11959
CONCOR,EQ, 08-Apr-2021,584.65,590.05,601.0,586.5, 590.50,590.1,594.26,3631511,21580.5,62647,1937776,53.36,11515
CHOLAFIN,EQ, 08-Apr-2021,578.05,580.9,580.9,561.0, 561.55,562.95,569.36,5476027,31178.51,72419,1994476,36.42,11355
GRASIM,EQ, 08-Apr-2021,1437.4,1446.8,1463.3,1433.55, 1450.00,1447.8,1449.66,1566826,22713.66,44125,766992,48.95,11118
NESTLEIND,EQ, 08-Apr-2021,17409.85,17425.05,17759.0,17326.85, 17716.40,17689.9,17577.74,118006,20742.79,29247,62403,52.88,10969
HEROMOTOCO,EQ, 08-Apr-2021,2941.6,2969.0,2990.35,2913.4, 2930.00,2928.0,2958.82,953450,28210.84,78186,367058,38.5,10860
SRTRANSFIN,EQ, 08-Apr-2021,1485.6,1489.9,1510.0,1473.25, 1495.10,1494.2,1494.59,2237390,33439.86,63808,705080,31.51,10538
M&M,EQ, 08-Apr-2021,796.3,802.0,811.0,793.0, 794.00,795.15,802.61,3324494,26682.82,75927,1285176,38.66,10314
DIXON,EQ, 08-Apr-2021,3613.9,3735.0,3797.0,3682.1, 3729.00,3734.5,3749.12,630918,23653.87,78354,264333,41.9,9910
MOTHERSUMI,EQ, 08-Apr-2021,214.15,218.0,218.5,214.0, 217.20,216.85,216.65,14122715,30596.55,109067,4195636,29.71,9089
TITAN,EQ, 08-Apr-2021,1514.1,1529.25,1579.0,1525.5, 1568.90,1571.3,1557.59,2085919,32490.13,66131,559172,26.81,8709
AMBUJACEM,EQ, 08-Apr-2021,308.65,310.0,326.9,309.3, 326.55,320.8,316.0,7223424,22825.85,94667,2733674,37.84,8638
HEG,EQ, 08-Apr-2021,2152.95,2170.0,2368.2,2162.0, 2368.20,2366.4,2336.73,2449226,57231.79,144050,350019,14.29,8178
BHEL,EQ, 08-Apr-2021,50.0,49.9,53.05,49.85, 51.80,51.6,51.84,85159684,44150.3,112904,15743780,18.49,8161
CIPLA,EQ, 08-Apr-2021,840.85,843.0,850.45,838.4, 841.00,842.0,844.77,2459821,20779.88,54329,953942,38.78,8058
ADANIENT,EQ, 08-Apr-2021,1165.55,1162.5,1191.0,1137.75, 1159.95,1162.5,1168.28,12404773,144922.75,255744,681685,5.5,7963
TATAPOWER,EQ, 08-Apr-2021,104.45,105.0,106.75,104.7, 105.20,104.95,105.57,36910799,38967.49,92349,7470834,20.24,7886
ADANIPOWER,EQ, 08-Apr-2021,99.95,100.6,102.0,96.8, 97.20,97.4,98.91,19905893,19689.53,98972,7885421,39.61,7799
LT,EQ, 08-Apr-2021,1404.15,1410.0,1434.8,1410.0, 1420.00,1419.15,1422.89,1644834,23404.15,58544,546403,33.22,7774
JUSTDIAL,EQ, 08-Apr-2021,885.85,895.2,993.9,895.15, 967.00,962.55,959.35,7567138,72595.23,220622,804841,10.64,7721
PIDILITIND,EQ, 08-Apr-2021,1888.4,1890.4,1924.0,1878.3, 1904.00,1905.6,1904.16,819770,15609.75,49761,403783,49.26,7688
HDFCLIFE,EQ, 08-Apr-2021,699.85,700.0,706.0,697.3, 701.15,701.45,701.21,1817393,12743.66,53189,1078684,59.35,7563
BANDHANBNK,EQ, 08-Apr-2021,349.75,350.85,360.1,348.8, 354.20,355.05,356.44,6675404,23793.64,88013,2104078,31.52,7499
GAIL,EQ, 08-Apr-2021,138.65,141.0,141.0,137.75, 138.60,138.55,139.32,13593573,18938.09,57584,5377908,39.56,7492
