SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DELIV_LACS
HDFCBANK,EQ, 07-Apr-2021,1440.25,1439.3,1456.7,1421.55,1447.25,1447.2,1445.04,12544090,181266.86,208801,7434774,59.27,107435
RELIANCE,EQ, 07-Apr-2021,1984.3,2000.0,2046.9,1993.3,2001.55,2002.85,2019.21,11198918,226130.14,286779,4098798,36.6,82763
ADANIPORTS,EQ, 07-Apr-2021,835.55,857.0,885.0,795.0,812.45,814.75,835.16,97717880,816098.83,1205984,8025095,8.21,67022
ICICIBANK,EQ, 07-Apr-2021,565.9,566.55,580.0,559.4,576.75,577.65,573.84,23984399,137632.72,220773,10395598,43.34,59654
VEDL,EQ, 07-Apr-2021,233.55,234.0,238.85,233.3,237.45,236.85,235.23,42365445,99656.37,64935,23169357,54.69,54501
HDFC,EQ, 07-Apr-2021,2472.3,2489.0,2507.8,2457.0,2478.8,2482.7,2485.1,3511527,87265.04,134963,2078408,59.19,51650
BHARTIARTL,EQ, 07-Apr-2021,532.2,537.0,546.9,535.25,541.0,541.6,542.17,20997280,113841.08,192193,7853925,37.4,42581
INFY,EQ, 07-Apr-2021,1411.05,1410.25,1434.95,1406.6,1430.0,1430.2,1422.23,5879234,83616.0,135633,2734437,46.51,38889
TCS,EQ, 07-Apr-2021,3264.7,3259.0,3277.55,3234.8,3271.0,3271.4,3258.05,2491268,81166.66,122792,1125695,45.19,36675
BAJFINANCE,EQ, 07-Apr-2021,4993.1,4980.0,5109.0,4940.0,5069.1,5077.1,5043.73,2402782,121189.75,130810,609473,25.37,30740
SBIN,EQ, 07-Apr-2021,350.55,351.25,363.2,347.6,358.2,358.55,358.22,48023602,172031.6,323113,7394333,15.4,26487
KOTAKBANK,EQ, 07-Apr-2021,1768.3,1766.05,1810.7,1745.6,1790.1,1792.0,1785.88,3158142,56400.64,153048,1426569,45.17,25476
DRREDDY,EQ, 07-Apr-2021,4619.25,4662.3,4734.0,4641.0,4680.0,4692.65,4697.01,1113612,52306.49,81501,518605,46.57,24358
TATASTEEL,EQ, 07-Apr-2021,862.85,869.5,885.0,864.65,876.35,874.85,875.9,17113208,149894.73,217318,2643854,15.45,23157
HINDUNILVR,EQ, 07-Apr-2021,2408.3,2417.0,2435.0,2387.35,2399.5,2405.25,2412.73,1713970,41353.42,68739,950532,55.46,22933
WIPRO,EQ, 07-Apr-2021,427.15,425.0,439.0,423.4,437.25,438.0,431.67,13867650,59862.66,135260,5235867,37.76,22601
ADANIENT,EQ, 07-Apr-2021,1225.4,1233.4,1251.6,1108.0,1157.9,1165.55,1182.19,23007694,271993.96,456576,1829525,7.95,21628
AXISBANK,EQ, 07-Apr-2021,677.9,680.5,691.9,668.4,686.95,688.25,683.33,14433515,98628.26,200276,3014602,20.89,20599
ATGL,EQ, 07-Apr-2021,1206.15,1206.5,1208.9,1085.55,1103.0,1103.6,1129.59,4168016,47081.35,149095,1654001,39.68,18683
ADANIPOWER,EQ, 07-Apr-2021,98.4,103.3,103.3,95.5,100.05,99.95,100.65,60992792,61391.4,251953,18345601,30.08,18464
PIIND,EQ, 07-Apr-2021,2306.35,2340.0,2455.0,2323.95,2417.8,2422.7,2397.54,1638970,39295.01,88304,757840,46.24,18169
MARUTI,EQ, 07-Apr-2021,6751.3,6790.0,6885.0,6775.05,6865.2,6865.0,6847.39,598115,40955.26,57449,255548,42.73,17498
HCLTECH,EQ, 07-Apr-2021,1028.4,1031.0,1045.0,1024.7,1037.0,1037.2,1034.68,3551106,36742.65,105511,1629345,45.88,16858
ASIANPAINT,EQ, 07-Apr-2021,2611.6,2605.0,2668.05,2600.1,2621.6,2628.6,2644.44,1937977,51248.72,110658,632530,32.64,16726
TATAMOTORS,EQ, 07-Apr-2021,307.75,306.75,310.65,305.1,307.65,307.8,308.53,39073986,120553.54,194930,4952057,12.67,15278
INDUSINDBK,EQ, 07-Apr-2021,927.25,931.0,952.45,921.15,947.0,945.55,943.27,5714921,53906.92,128307,1608359,28.14,15171
JSWSTEEL,EQ, 07-Apr-2021,537.45,539.25,566.45,533.2,566.1,562.3,551.79,20024702,110495.03,211011,2733035,13.65,15080
BRITANNIA,EQ, 07-Apr-2021,3730.6,3732.0,3820.0,3711.55,3795.0,3808.55,3784.79,633677,23983.37,43637,395509,62.41,14969
LAURUSLABS,EQ, 07-Apr-2021,396.6,405.6,426.65,405.45,420.95,420.65,418.36,10426516,43620.12,117983,3383226,32.45,14154
MPHASIS,EQ, 07-Apr-2021,1745.1,1749.9,1752.55,1714.9,1729.6,1732.45,1729.2,1085872,18776.92,28627,814639,75.02,14086
NESTLEIND,EQ, 07-Apr-2021,17081.7,17100.0,17865.95,17025.0,17416.95,17409.85,17476.17,178465,31188.85,42482,79779,44.7,13942
NAUKRI,EQ, 07-Apr-2021,4500.0,4475.0,4714.2,4434.15,4685.0,4691.4,4578.81,1236704,56626.36,83723,299722,24.24,13723
HEG,EQ, 07-Apr-2021,1818.1,1850.0,2181.7,1826.35,2152.0,2152.95,2066.73,4198231,86766.01,246173,638384,15.21,13193
TITAN,EQ, 07-Apr-2021,1525.5,1522.1,1561.45,1508.0,1517.5,1514.1,1533.12,2592185,39741.34,87890,851629,32.85,13056
GRAPHITE,EQ, 07-Apr-2021,588.05,585.0,689.9,575.2,645.35,653.75,648.03,18362012,118991.81,393814,2014124,10.97,13052
TECHM,EQ, 07-Apr-2021,991.35,992.0,1005.65,982.1,1000.2,1002.4,996.2,2974419,29631.06,73301,1273844,42.83,12690
GAIL,EQ, 07-Apr-2021,134.55,136.3,141.85,136.3,138.55,138.65,139.46,33209701,46312.6,149211,9077837,27.33,12659
SAIL,EQ, 07-Apr-2021,91.05,91.5,92.3,89.25,90.1,89.8,90.97,48066027,43724.59,109938,13760515,28.63,12517
SBILIFE,EQ, 07-Apr-2021,897.55,901.0,921.0,898.25,916.5,918.5,914.61,2860132,26159.12,77247,1357099,47.45,12412
HDFCLIFE,EQ, 07-Apr-2021,697.15,704.45,705.0,695.2,698.0,699.85,700.14,2890361,20236.43,62900,1738587,60.15,12172
