"SYMBOL","DATE1","PREV_CLOSE","CLOSE_PRICE","AVG_PRICE","TTL_TRD_QNTY","TURNOVER_LACS","NO_OF_TRADES","DELIV_QTY","DELIV_PER","DELIV_LACS","DATE"
"SBIN"," 08-Feb-2021","393.1","397.05","400.46","79389205","317919.4","577218","17607498","22.18","70510","20210208"
"RELIANCE"," 08-Feb-2021","1923.75","1951.45","1954.84","9776136","191108.17","287247","3553415","36.35","69463","20210208"
"HDFC"," 08-Feb-2021","2721.5","2733.35","2734.19","3807824","104113.32","164151","2156322","56.63","58957","20210208"
"HDFCBANK"," 08-Feb-2021","1597.6","1605.25","1614.56","8723790","140850.76","228373","3412505","39.12","55096","20210208"
"DRREDDY"," 08-Feb-2021","4800.9","4859.8","4869.86","2158578","105119.77","121634","1075225","49.81","52361","20210208"
"ASIANPAINT"," 08-Feb-2021","2376.75","2416.85","2408.69","3666313","88309.97","162331","1887081","51.47","45453","20210208"
"TATAMOTORS"," 08-Feb-2021","315.9","335.95","328.1","102123614","335069.56","597813","13791043","13.5","45248","20210208"
"ICICIBANK"," 08-Feb-2021","614.15","629.6","629.35","18230551","114733.32","207409","7076895","38.82","44538","20210208"
"INFY"," 08-Feb-2021","1272.1","1303.55","1292.02","6921922","89432.53","198135","3121995","45.1","40336","20210208"
"BHARTIARTL"," 08-Feb-2021","581.1","597.3","596.42","21247165","126723.04","253809","6348279","29.88","37862","20210208"
"TCS"," 08-Feb-2021","3157.95","3214.1","3191.08","2526592","80625.48","155790","1160977","45.95","37047","20210208"
"HINDUNILVR"," 08-Feb-2021","2269.55","2236.65","2253.22","2780672","62654.66","155971","1640042","58.98","36953","20210208"
"AXISBANK"," 08-Feb-2021","719.6","736.15","739.35","15662890","115803.13","279438","4963408","31.69","36696","20210208"
"ITC"," 08-Feb-2021","234.35","233.1","234.25","41495834","97204.39","233390","15480194","37.31","36262","20210208"
"BRITANNIA"," 08-Feb-2021","3541.65","3473.7","3495.14","2388271","83473.51","137713","1034574","43.32","36159","20210208"
"BAJFINANCE"," 08-Feb-2021","5538.55","5497.7","5594.35","2800809","156687.12","164203","556373","19.86","31125","20210208"
"M&M"," 08-Feb-2021","865.5","928.4","929.21","21179625","196803.1","384902","3298612","15.57","30651","20210208"
"DIVISLAB"," 08-Feb-2021","3822.45","3781.85","3790.16","2744564","104023.35","154000","771841","28.12","29254","20210208"
"LT"," 08-Feb-2021","1516.5","1551.8","1552.37","5223019","81080.43","163234","1714281","32.82","26611","20210208"
"ZEEL"," 08-Feb-2021","215.3","219.75","217.91","52078446","113485.44","277388","11874353","22.8","25875","20210208"
"HCLTECH"," 08-Feb-2021","946.15","957.75","954.03","6509526","62103.15","172264","2599006","39.93","24795","20210208"
"KOTAKBANK"," 08-Feb-2021","1982.7","1957.15","1985.12","4021475","79831.1","137760","1205107","29.97","23922","20210208"
"PNB"," 08-Feb-2021","40.15","38.0","38.81","208191094","80789.11","245997","59355314","28.51","23035","20210208"
"IRCTC"," 08-Feb-2021","1555.0","1618.7","1605.11","4852761","77892.39","182220","1262859","26.02","20270","20210208"
"MOTHERSUMI"," 08-Feb-2021","156.35","162.85","161.93","26223370","42463.67","143370","11708293","44.65","18959","20210208"
"BAJAJFINSV"," 08-Feb-2021","9722.2","10021.05","9971.57","985855","98305.23","109921","188933","19.16","18839","20210208"
"NTPC"," 08-Feb-2021","99.5","100.3","99.42","53737961","53427.24","141267","17728706","32.99","17625","20210208"
"BHEL"," 08-Feb-2021","43.55","39.85","40.37","114554488","46242.46","191613","41703314","36.4","16835","20210208"
"INDUSINDBK"," 08-Feb-2021","1025.1","1035.1","1042.33","7162284","74654.39","149679","1601145","22.36","16689","20210208"
"TATASTEEL"," 08-Feb-2021","685.05","702.95","694.87","21462169","149133.86","245226","2397130","11.17","16656","20210208"
"TATAPOWER"," 08-Feb-2021","87.45","90.0","90.07","70145365","63179.21","144902","18429109","26.27","16599","20210208"
"NCC"," 08-Feb-2021","83.05","99.55","94.36","78773825","74333.3","259232","17431672","22.13","16448","20210208"
"HINDALCO"," 08-Feb-2021","262.05","278.95","274.29","27556901","75586.01","207524","5990316","21.74","16430","20210208"
"UPL"," 08-Feb-2021","536.5","538.3","537.8","8511429","45774.38","99340","2879931","33.84","15488","20210208"
"IOC"," 08-Feb-2021","102.4","104.1","103.6","37924977","39291.2","92391","14125414","37.25","14633","20210208"
"SHREECEM"," 08-Feb-2021","26722.85","28022.2","27831.8","183938","51193.26","32393","52494","28.54","14610","20210208"
"WIPRO"," 08-Feb-2021","425.55","435.3","431.95","12516340","54063.79","114768","3323421","26.55","14355","20210208"
"POWERGRID"," 08-Feb-2021","207.1","212.55","209.89","15995755","33572.96","83512","6721421","42.02","14107","20210208"
"SAIL"," 08-Feb-2021","65.05","67.7","66.62","49944573","33275.2","78488","20487301","41.02","13648","20210208"
"MARUTI"," 08-Feb-2021","7494.15","7574.6","7574.24","912372","69105.21","84897","174287","19.1","13200","20210208"
